Sample_2	Site_2	Mass_2	C2	H2	O2	N2	S2	P2	MolForm_2	El_comp_2	Class_2
BJ_E4	BJ	451.01647	29	9	4	0	0	1	C29H9O4P	CHOP	ConHC
BJ_E4	BJ	435.0037301	29	9	1	0	1	1	C29H9OSP	CHOSP	ConHC
BJ_E4	BJ	535.9680063	22	7	12	3	1	0	C22H7O12N3S	CHONS	ConHC
BJ_E4	BJ	721.1014706	51	18	2	2	1	0	C51H18O2N2S	CHONS	ConHC
BJ_E4	BJ	727.1159349	55	20	1	0	1	0	C55H20OS	CHOS	ConHC
BJ_E4	BJ	465.0320118	30	11	4	0	0	1	C30H11O4P	CHOP	ConHC
BJ_E4	BJ	449.0193256	30	11	1	0	1	1	C30H11OSP	CHOSP	ConHC
BJ_E4	BJ	751.125653	57	21	1	0	0	1	C57H21OP	CHOP	ConHC
BJ_E4	BJ	439.0878903	32	12	1	2	0	0	C32H12ON2	CHON	ConHC
BJ_E4	BJ	565.0651779	37	14	3	2	1	0	C37H14O3N2S	CHONS	ConHC
BJ_E4	BJ	714.9604446	31	12	15	2	2	0	C31H12O15N2S2	CHONS	ConHC
BJ_E4	BJ	489.1035766	36	14	1	2	0	0	C36H14ON2	CHON	ConHC
BJ_E4	BJ	661.1013211	46	18	2	2	1	0	C46H18O2N2S	CHONS	ConHC
BJ_E4	BJ	617.118626	46	18	3	0	0	0	C46H18O3	CHO	ConHC
BJ_E4	BJ	466.0987881	33	13	1	3	0	0	C33H13ON3	CHON	ConHC
BJ_E4	BJ	765.1415532	58	23	1	0	0	1	C58H23OP	CHOP	ConHC
BJ_E4	BJ	525.0879521	35	14	4	2	0	0	C35H14O4N2	CHON	ConHC
BJ_E4	BJ	431.0827948	30	12	2	2	0	0	C30H12O2N2	CHON	ConHC
BJ_E4	BJ	415.0877839	30	12	1	2	0	0	C30H12ON2	CHON	ConHC
BJ_E4	BJ	370.0425427	25	10	1	1	0	1	C25H10ONP	CHONP	ConHC
BJ_E4	BJ	639.1387377	49	20	2	0	0	0	C49H20O2	CHO	ConHC
BJ_E4	BJ	529.0831872	34	14	5	2	0	0	C34H14O5N2	CHON	ConHC
