Sample_2	Site_2	Mass_2	C2	H2	O2	N2	S2	P2	MolForm_2	El_comp_2	Class_2
BJ_E4	BJ	465.1035623	34	14	1	2	0	0	C34H14ON2	CHON	ConHC
BJ_E4	BJ	479.0478211	31	13	4	0	0	1	C31H13O4P	CHOP	ConHC
BJ_E4	BJ	463.0353973	31	13	1	0	1	1	C31H13OSP	CHOSP	ConHC
BJ_E4	BJ	380.0827455	26	11	1	3	0	0	C26H11ON3	CHON	ConHC
BJ_E4	BJ	373.0423182	25	11	2	0	0	1	C25H11O2P	CHOP	ConHC
BJ_E4	BJ	752.9679074	34	15	13	2	2	1	C34H15O13N2S2P	CHONSP	ConHC
BJ_E4	BJ	555.0808628	36	16	3	2	1	0	C36H16O3N2S	CHONS	ConHC
BJ_E4	BJ	512.994528	22	10	15	0	0	0	C22H10O15	CHO	ConHC
BJ_E4	BJ	258.015705	11	5	5	3	0	0	C11H5O5N3	CHON	ConHC
BJ_E4	BJ	559.07579	35	16	4	2	1	0	C35H16O4N2S	CHONS	ConHC
BJ_E4	BJ	910.1873669	63	29	7	1	0	0	C63H29O7N	CHON	ConHC
BJ_E4	BJ	695.1650344	52	24	3	0	0	0	C52H24O3	CHO	ConHC
BJ_E4	BJ	695.0627528	43	20	6	0	2	0	C43H20O6S2	CHOS	ConHC
BJ_E4	BJ	643.130082	43	20	5	2	0	0	C43H20O5N2	CHON	ConHC
BJ_E4	BJ	417.1035241	30	14	1	2	0	0	C30H14ON2	CHON	ConHC
BJ_E4	BJ	493.0634931	32	15	4	0	0	1	C32H15O4P	CHOP	ConHC
BJ_E4	BJ	477.0507295	32	15	1	0	1	1	C32H15OSP	CHOSP	ConHC
BJ_E4	BJ	243.0451264	17	8	2	0	0	0	C17H8O2	CHO	ConHC
BJ_E4	BJ	522.1249868	36	17	2	3	0	0	C36H17O2N3	CHON	ConHC
BJ_E4	BJ	500.9945603	21	10	15	0	0	0	C21H10O15	CHO	ConHC
BJ_E4	BJ	455.1190881	33	16	1	2	0	0	C33H16ON2	CHON	ConHC
BJ_E4	BJ	709.1812612	53	26	3	0	0	0	C53H26O3	CHO	ConHC
BJ_E4	BJ	663.1604902	48	24	4	0	0	0	C48H24O4	CHO	ConHC
BJ_E4	BJ	632.1769608	46	23	1	3	0	0	C46H23ON3	CHON	ConHC
BJ_E4	BJ	597.1499171	44	22	3	0	0	0	C44H22O3	CHO	ConHC
BJ_E4	BJ	457.0828508	28	14	5	2	0	0	C28H14O5N2	CHON	ConHC
BJ_E4	BJ	431.9872701	16	8	10	3	0	1	C16H8O10N3P	CHONP	ConHC
BJ_E4	BJ	426.0688145	28	14	2	1	0	1	C28H14O2NP	CHONP	ConHC
BJ_E4	BJ	371.0631064	26	13	1	0	0	1	C26H13OP	CHOP	ConHC
BJ_E4	BJ	570.1611343	41	21	1	3	0	0	C41H21ON3	CHON	ConHC
BJ_E4	BJ	507.079158	33	17	4	0	0	1	C33H17O4P	CHOP	ConHC
BJ_E4	BJ	469.0746134	29	15	3	2	0	1	C29H15O3N2P	CHONP	ConHC
BJ_E4	BJ	453.079738	29	15	2	2	0	1	C29H15O2N2P	CHONP	ConHC
BJ_E4	BJ	723.19657	54	28	3	0	0	0	C54H28O3	CHO	ConHC
BJ_E4	BJ	673.1810569	50	26	3	0	0	0	C50H26O3	CHO	ConHC
BJ_E4	BJ	510.9974451	23	12	12	0	1	0	C23H12O12S	CHOS	ConHC
BJ_E4	BJ	590.1510785	40	21	3	3	0	0	C40H21O3N3	CHON	ConHC
BJ_E4	BJ	574.155817	40	21	2	3	0	0	C40H21O2N3	CHON	ConHC
BJ_E4	BJ	873.2348443	66	35	1	0	0	1	C66H35OP	CHOP	ConHC
BJ_E4	BJ	661.1631289	49	26	1	0	1	0	C49H26OS	CHOS	ConHC
BJ_E4	BJ	468.0795077	30	16	3	1	0	1	C30H16O3NP	CHONP	ConHC
BJ_E4	BJ	600.1604173	43	23	3	1	0	0	C43H23O3N	CHON	ConHC
BJ_E4	BJ	562.1561194	39	21	2	3	0	0	C39H21O2N3	CHON	ConHC
BJ_E4	BJ	386.0739511	26	14	1	1	0	1	C26H14ONP	CHONP	ConHC
BJ_E4	BJ	427.0797681	29	16	2	0	1	0	C29H16O2S	CHOS	ConHC
BJ_E4	BJ	458.002939	18	10	10	3	0	1	C18H10O10N3P	CHONP	ConHC
BJ_E4	BJ	273.0558063	18	10	3	0	0	0	C18H10O3	CHO	ConHC
BJ_E4	BJ	257.0608699	18	10	2	0	0	0	C18H10O2	CHO	ConHC
BJ_E4	BJ	731.1782546	52	29	3	0	0	1	C52H29O3P	CHOP	ConHC
BJ_E4	BJ	695.1458384	43	24	8	2	0	0	C43H24O8N2	CHON	ConHC
BJ_E4	BJ	329.0972401	25	14	1	0	0	0	C25H14O	CHO	ConHC
BJ_E4	BJ	572.176695	41	23	1	3	0	0	C41H23ON3	CHON	ConHC
BJ_E4	BJ	294.005339	16	9	1	1	2	0	C16H9ONS2	CHONS	ConHC
BJ_E4	BJ	550.0779987	30	17	10	1	0	0	C30H17O10N	CHON	ConHC
BJ_E4	BJ	574.0940353	37	21	2	1	2	0	C37H21O2NS2	CHONS	ConHC
BJ_E4	BJ	428.0844928	28	16	2	1	0	1	C28H16O2NP	CHONP	ConHC
BJ_E4	BJ	339.0597816	21	12	1	2	1	0	C21H12ON2S	CHONS	ConHC
BJ_E4	BJ	794.1563602	52	30	4	1	1	1	C52H30O4NSP	CHONSP	ConHC
BJ_E4	BJ	561.0340958	26	15	11	2	0	1	C26H15O11N2P	CHONP	ConHC
BJ_E4	BJ	432.0988774	26	15	4	3	0	0	C26H15O4N3	CHON	ConHC
BJ_E4	BJ	746.2492815	57	33	1	1	0	0	C57H33ON	CHON	ConHC
BJ_E4	BJ	433.1346649	31	18	1	2	0	0	C31H18ON2	CHON	ConHC
BJ_E4	BJ	570.1862601	43	25	1	1	0	0	C43H25ON	CHON	ConHC
BJ_E4	BJ	696.1553027	48	28	1	1	1	1	C48H28ONSP	CHONSP	ConHC
BJ_E4	BJ	480.983165	17	10	13	2	1	0	C17H10O13N2S	CHONS	ConHC
BJ_E4	BJ	245.0608882	17	10	2	0	0	0	C17H10O2	CHO	ConHC
BJ_E4	BJ	759.2175235	54	32	5	0	0	0	C54H32O5	CHO	ConHC
BJ_E4	BJ	432.0793005	27	16	3	1	0	1	C27H16O3NP	CHONP	ConHC
BJ_E4	BJ	416.0843926	27	16	2	1	0	1	C27H16O2NP	CHONP	ConHC
BJ_E4	BJ	916.201081	59	35	8	1	1	0	C59H35O8NS	CHONS	ConHC
BJ_E4	BJ	607.2066155	47	28	1	0	0	0	C47H28O	CHO	ConHC
BJ_E4	BJ	656.1802688	45	27	1	3	1	0	C45H27ON3S	CHONS	ConHC
BJ_E4	BJ	267.0816303	20	12	1	0	0	0	C20H12O	CHO	ConHC
BJ_E4	BJ	711.1664444	48	29	1	2	1	1	C48H29ON2SP	CHONSP	ConHC
BJ_E4	BJ	572.1323762	38	23	3	1	1	0	C38H23O3NS	CHONS	ConHC
BJ_E4	BJ	511.0589318	28	17	8	0	0	1	C28H17O8P	CHOP	ConHC
BJ_E4	BJ	462.0981022	28	17	6	1	0	0	C28H17O6N	CHON	ConHC
BJ_E4	BJ	387.1139886	26	16	2	2	0	0	C26H16O2N2	CHON	ConHC
BJ_E4	BJ	524.1770045	37	23	1	3	0	0	C37H23ON3	CHON	ConHC
BJ_E4	BJ	903.2749733	64	40	6	0	0	0	C64H40O6	CHO	ConHC
BJ_E4	BJ	428.0773898	24	15	7	1	0	0	C24H15O7N	CHON	ConHC
BJ_E4	BJ	313.0352953	16	10	7	0	0	0	C16H10O7	CHO	ConHC
BJ_E4	BJ	309.0515644	16	10	5	2	0	0	C16H10O5N2	CHON	ConHC
BJ_E4	BJ	297.0403869	16	10	6	0	0	0	C16H10O6	CHO	ConHC
BJ_E4	BJ	691.2099423	51	32	1	0	1	0	C51H32OS	CHOS	ConHC
BJ_E4	BJ	604.1740513	43	27	1	1	1	0	C43H27ONS	CHONS	ConHC
BJ_E4	BJ	777.2284679	54	34	6	0	0	0	C54H34O6	CHO	ConHC
BJ_E4	BJ	729.1839556	49	31	5	0	0	1	C49H31O5P	CHOP	ConHC
BJ_E4	BJ	593.1870872	41	26	3	2	0	0	C41H26O3N2	CHON	ConHC
BJ_E4	BJ	928.2147019	55	35	12	3	0	0	C55H35O12N3	CHON	ConHC
BJ_E4	BJ	539.0986598	33	21	2	2	1	1	C33H21O2N2SP	CHONSP	ConHC
BJ_E4	BJ	244.0363244	11	7	4	3	0	0	C11H7O4N3	CHON	ConHC
BJ_E4	BJ	228.0414317	11	7	3	3	0	0	C11H7O3N3	CHON	ConHC
BJ_E4	BJ	216.0301941	11	7	4	1	0	0	C11H7O4N	CHON	ConHC
BJ_E4	BJ	212.0465042	11	7	2	3	0	0	C11H7O2N3	CHON	ConHC
BJ_E4	BJ	692.2151364	50	32	1	1	0	1	C50H32ONP	CHONP	ConHC
BJ_E4	BJ	363.0848176	25	16	1	0	1	0	C25H16OS	CHOS	ConHC
BJ_E4	BJ	749.2334178	53	34	5	0	0	0	C53H34O5	CHO	ConHC
BJ_E4	BJ	749.2152468	53	34	3	0	1	0	C53H34O3S	CHOS	ConHC
BJ_E4	BJ	609.1450405	42	27	1	0	1	1	C42H27OSP	CHOSP	ConHC
BJ_E4	BJ	608.1688216	42	27	2	1	1	0	C42H27O2NS	CHONS	ConHC
BJ_E4	BJ	588.208076	42	27	1	3	0	0	C42H27ON3	CHON	ConHC
BJ_E4	BJ	969.3292377	73	47	1	0	0	1	C73H47OP	CHOP	ConHC
BJ_E4	BJ	325.0094813	17	11	3	0	1	1	C17H11O3SP	CHOSP	ConHC
BJ_E4	BJ	591.1563151	37	24	6	2	0	0	C37H24O6N2	CHON	ConHC
BJ_E4	BJ	696.1692416	43	28	5	3	0	1	C43H28O5N3P	CHONP	ConHC
BJ_E4	BJ	635.1796644	43	28	2	2	1	0	C43H28O2N2S	CHONS	ConHC
BJ_E4	BJ	587.1529687	38	25	3	2	0	1	C38H25O3N2P	CHONP	ConHC
BJ_E4	BJ	618.2077675	44	29	3	1	0	0	C44H29O3N	CHON	ConHC
BJ_E4	BJ	657.1990242	47	31	2	0	0	1	C47H31O2P	CHOP	ConHC
BJ_E4	BJ	900.2338975	60	40	4	1	1	1	C60H40O4NSP	CHONSP	ConHC
BJ_E4	BJ	764.1840963	48	32	7	1	0	1	C48H32O7NP	CHONP	ConHC
BJ_E4	BJ	721.9678369	27	18	17	1	2	1	C27H18O17NS2P	CHONSP	ConHC
BJ_E4	BJ	699.2290314	48	32	4	2	0	0	C48H32O4N2	CHON	ConHC
BJ_E4	BJ	668.2151356	48	32	1	1	0	1	C48H32ONP	CHONP	ConHC
BJ_E4	BJ	627.1408963	36	24	9	2	0	0	C36H24O9N2	CHON	ConHC
BJ_E4	BJ	611.1864371	42	28	5	0	0	0	C42H28O5	CHO	ConHC
BJ_E4	BJ	433.119331	27	18	4	2	0	0	C27H18O4N2	CHON	ConHC
BJ_E4	BJ	402.1052927	27	18	1	1	0	1	C27H18ONP	CHONP	ConHC
BJ_E4	BJ	402.0650139	21	14	4	3	0	1	C21H14O4N3P	CHONP	ConHC
BJ_E4	BJ	389.1003832	27	18	1	0	1	0	C27H18OS	CHOS	ConHC
BJ_E4	BJ	357.1284571	27	18	1	0	0	0	C27H18O	CHO	ConHC
BJ_E4	BJ	355.0459209	18	12	8	0	0	0	C18H12O8	CHO	ConHC
BJ_E4	BJ	339.0510077	18	12	7	0	0	0	C18H12O7	CHO	ConHC
BJ_E4	BJ	301.0354053	15	10	7	0	0	0	C15H10O7	CHO	ConHC
BJ_E4	BJ	285.0403989	15	10	6	0	0	0	C15H10O6	CHO	ConHC
BJ_E4	BJ	269.0456638	15	10	5	0	0	0	C15H10O5	CHO	ConHC
BJ_E4	BJ	263.0019279	12	8	5	0	1	0	C12H8O5S	CHOS	ConHC
BJ_E4	BJ	243.0815732	18	12	1	0	0	0	C18H12O	CHO	ConHC
BJ_E4	BJ	227.0462395	12	8	3	2	0	0	C12H8O3N2	CHON	ConHC
BJ_E4	BJ	714.2284491	49	33	5	1	0	0	C49H33O5N	CHON	ConHC
BJ_E4	BJ	597.173475	40	27	2	2	0	1	C40H27O2N2P	CHONP	ConHC
BJ_E4	BJ	626.1454301	37	25	9	1	0	0	C37H25O9N	CHON	ConHC
BJ_E4	BJ	553.1323641	34	23	4	2	0	1	C34H23O4N2P	CHONP	ConHC
BJ_E4	BJ	525.1084709	34	23	2	0	1	1	C34H23O2SP	CHOSP	ConHC
BJ_E4	BJ	444.1355804	28	19	3	3	0	0	C28H19O3N3	CHON	ConHC
BJ_E4	BJ	821.2138222	50	34	10	2	0	0	C50H34O10N2	CHON	ConHC
BJ_E4	BJ	729.2283974	50	34	6	0	0	0	C50H34O6	CHO	ConHC
BJ_E4	BJ	694.2303389	50	34	1	1	0	1	C50H34ONP	CHONP	ConHC
BJ_E4	BJ	640.1792468	41	28	3	3	0	1	C41H28O3N3P	CHONP	ConHC
BJ_E4	BJ	887.256932	60	41	6	0	0	1	C60H41O6P	CHOP	ConHC
BJ_E4	BJ	832.2706417	57	39	6	1	0	0	C57H39O6N	CHON	ConHC
BJ_E4	BJ	564.1482001	35	24	3	3	0	1	C35H24O3N3P	CHONP	ConHC
BJ_E4	BJ	645.0888449	32	22	15	0	0	0	C32H22O15	CHO	ConHC
BJ_E4	BJ	312.051403	16	11	6	1	0	0	C16H11O6N	CHON	ConHC
BJ_E4	BJ	308.067733	16	11	4	3	0	0	C16H11O4N3	CHON	ConHC
BJ_E4	BJ	280.0614033	16	11	4	1	0	0	C16H11O4N	CHON	ConHC
BJ_E4	BJ	862.2988457	61	42	1	3	0	1	C61H42ON3P	CHONP	ConHC
BJ_E4	BJ	460.1108287	29	20	3	1	0	1	C29H20O3NP	CHONP	ConHC
BJ_E4	BJ	302.0419825	13	9	6	3	0	0	C13H9O6N3	CHON	ConHC
BJ_E4	BJ	701.2332081	49	34	5	0	0	0	C49H34O5	CHO	ConHC
BJ_E4	BJ	874.2450873	59	41	3	1	2	0	C59H41O3NS2	CHONS	ConHC
BJ_E4	BJ	644.215019	46	32	1	1	0	1	C46H32ONP	CHONP	ConHC
BJ_E4	BJ	717.1698473	43	30	7	2	1	0	C43H30O7N2S	CHONS	ConHC
BJ_E4	BJ	625.1843389	43	30	3	0	1	0	C43H30O3S	CHOS	ConHC
BJ_E4	BJ	886.2547746	60	42	3	1	1	1	C60H42O3NSP	CHONSP	ConHC
BJ_E4	BJ	220.0251096	10	7	5	1	0	0	C10H7O5N	CHON	ConHC
BJ_E4	BJ	204.030265	10	7	4	1	0	0	C10H7O4N	CHON	ConHC
BJ_E4	BJ	188.0353751	10	7	3	1	0	0	C10H7O3N	CHON	ConHC
BJ_E4	BJ	781.2596946	54	38	6	0	0	0	C54H38O6	CHO	ConHC
BJ_E4	BJ	561.0705186	27	19	10	2	0	1	C27H19O10N2P	CHONP	ConHC
BJ_E4	BJ	405.1050298	27	19	2	0	0	1	C27H19O2P	CHOP	ConHC
BJ_E4	BJ	669.1658876	44	31	3	0	1	1	C44H31O3SP	CHOSP	ConHC
BJ_E4	BJ	708.2460334	51	36	1	1	0	1	C51H36ONP	CHONP	ConHC
BJ_E4	BJ	327.0510432	17	12	7	0	0	0	C17H12O7	CHO	ConHC
BJ_E4	BJ	323.0672027	17	12	5	2	0	0	C17H12O5N2	CHON	ConHC
BJ_E4	BJ	311.0560938	17	12	6	0	0	0	C17H12O6	CHO	ConHC
BJ_E4	BJ	307.0723817	17	12	4	2	0	0	C17H12O4N2	CHON	ConHC
BJ_E4	BJ	694.1718351	41	29	10	1	0	0	C41H29O10N	CHON	ConHC
BJ_E4	BJ	709.0792025	31	22	18	2	0	0	C31H22O18N2	CHON	ConHC
BJ_E4	BJ	641.1369343	38	27	8	0	0	1	C38H27O8P	CHOP	ConHC
BJ_E4	BJ	640.1614899	38	27	9	1	0	0	C38H27O9N	CHON	ConHC
BJ_E4	BJ	829.2962358	59	42	5	0	0	0	C59H42O5	CHO	ConHC
BJ_E4	BJ	432.1157803	28	20	2	1	0	1	C28H20O2NP	CHONP	ConHC
BJ_E4	BJ	305.0301875	14	10	8	0	0	0	C14H10O8	CHO	ConHC
BJ_E4	BJ	289.0352738	14	10	7	0	0	0	C14H10O7	CHO	ConHC
BJ_E4	BJ	273.0404234	14	10	6	0	0	0	C14H10O6	CHO	ConHC
BJ_E4	BJ	257.045535	14	10	5	0	0	0	C14H10O5	CHO	ConHC
BJ_E4	BJ	253.0618256	14	10	3	2	0	0	C14H10O3N2	CHON	ConHC
BJ_E4	BJ	241.0505883	14	10	4	0	0	0	C14H10O4	CHO	ConHC
BJ_E4	BJ	225.055733	14	10	3	0	0	0	C14H10O3	CHO	ConHC
BJ_E4	BJ	726.2133766	46	33	8	1	0	0	C46H33O8N	CHON	ConHC
BJ_E4	BJ	664.1641469	39	28	6	3	0	1	C39H28O6N3P	CHONP	ConHC
BJ_E4	BJ	748.2857502	54	39	3	1	0	0	C54H39O3N	CHON	ConHC
BJ_E4	BJ	716.2960852	54	39	1	1	0	0	C54H39ON	CHON	ConHC
BJ_E4	BJ	338.0669686	18	13	6	1	0	0	C18H13O6N	CHON	ConHC
BJ_E4	BJ	303.0693977	18	13	1	2	0	1	C18H13ON2P	CHONP	ConHC
BJ_E4	BJ	742.2597091	51	37	5	1	0	0	C51H37O5N	CHON	ConHC
BJ_E4	BJ	710.2698924	51	37	3	1	0	0	C51H37O3N	CHON	ConHC
BJ_E4	BJ	694.2749057	51	37	2	1	0	0	C51H37O2N	CHON	ConHC
BJ_E4	BJ	811.2700841	55	40	7	0	0	0	C55H40O7	CHO	ConHC
BJ_E4	BJ	519.0414834	22	16	15	0	0	0	C22H16O15	CHO	ConHC
BJ_E4	BJ	400.0856153	22	16	3	3	0	1	C22H16O3N3P	CHONP	ConHC
BJ_E4	BJ	387.0808358	22	16	3	2	1	0	C22H16O3N2S	CHONS	ConHC
BJ_E4	BJ	235.024762	11	8	6	0	0	0	C11H8O6	CHO	ConHC
BJ_E4	BJ	219.0298682	11	8	5	0	0	0	C11H8O5	CHO	ConHC
BJ_E4	BJ	584.0504685	26	19	13	1	1	0	C26H19O13NS	CHONS	ConHC
BJ_E4	BJ	376.134367	26	19	2	1	0	0	C26H19O2N	CHON	ConHC
BJ_E4	BJ	553.2171216	41	30	2	0	0	0	C41H30O2	CHO	ConHC
BJ_E4	BJ	458.1314482	30	22	2	1	0	1	C30H22O2NP	CHONP	ConHC
BJ_E4	BJ	344.0525466	15	11	7	3	0	0	C15H11O7N3	CHON	ConHC
BJ_E4	BJ	332.0411626	15	11	8	1	0	0	C15H11O8N	CHON	ConHC
BJ_E4	BJ	328.0398344	15	11	4	3	1	0	C15H11O4N3S	CHONS	ConHC
BJ_E4	BJ	316.0462558	15	11	7	1	0	0	C15H11O7N	CHON	ConHC
BJ_E4	BJ	300.0512558	15	11	6	1	0	0	C15H11O6N	CHON	ConHC
BJ_E4	BJ	284.0564244	15	11	5	1	0	0	C15H11O5N	CHON	ConHC
BJ_E4	BJ	268.0614621	15	11	4	1	0	0	C15H11O4N	CHON	ConHC
BJ_E4	BJ	735.2209848	49	36	5	0	1	0	C49H36O5S	CHOS	ConHC
BJ_E4	BJ	527.1242409	34	25	2	0	1	1	C34H25O2SP	CHOSP	ConHC
BJ_E4	BJ	757.3114499	57	42	2	0	0	0	C57H42O2	CHO	ConHC
BJ_E4	BJ	655.1719682	38	28	9	2	0	0	C38H28O9N2	CHON	ConHC
BJ_E4	BJ	639.1593126	38	28	6	2	1	0	C38H28O6N2S	CHONS	ConHC
BJ_E4	BJ	369.0614278	19	14	8	0	0	0	C19H14O8	CHO	ConHC
BJ_E4	BJ	693.1502909	42	31	6	0	1	1	C42H31O6SP	CHOSP	ConHC
BJ_E4	BJ	624.2112997	42	31	1	3	1	0	C42H31ON3S	CHONS	ConHC
BJ_E4	BJ	391.1341025	27	20	3	0	0	0	C27H20O3	CHO	ConHC
BJ_E4	BJ	391.1161626	27	20	1	0	1	0	C27H20OS	CHOS	ConHC
BJ_E4	BJ	655.1529113	39	29	8	0	0	1	C39H29O8P	CHOP	ConHC
BJ_E4	BJ	773.1771016	47	35	7	0	1	1	C47H35O7SP	CHOSP	ConHC
BJ_E4	BJ	665.2847211	51	38	1	0	0	0	C51H38O	CHO	ConHC
BJ_E4	BJ	793.2779134	56	42	3	0	1	0	C56H42O3S	CHOS	ConHC
BJ_E4	BJ	675.2540353	48	36	4	0	0	0	C48H36O4	CHO	ConHC
BJ_E4	BJ	675.2362254	48	36	2	0	1	0	C48H36O2S	CHOS	ConHC
BJ_E4	BJ	535.1396092	32	24	8	0	0	0	C32H24O8	CHO	ConHC
BJ_E4	BJ	449.0522374	24	18	5	0	2	0	C24H18O5S2	CHOS	ConHC
BJ_E4	BJ	347.0231366	16	12	7	0	1	0	C16H12O7S	CHOS	ConHC
BJ_E4	BJ	340.0316758	16	12	2	3	1	1	C16H12O2N3SP	CHONSP	ConHC
BJ_E4	BJ	315.0510276	16	12	7	0	0	0	C16H12O7	CHO	ConHC
BJ_E4	BJ	311.0673517	16	12	5	2	0	0	C16H12O5N2	CHON	ConHC
BJ_E4	BJ	299.0560095	16	12	6	0	0	0	C16H12O6	CHO	ConHC
BJ_E4	BJ	279.0774717	16	12	3	2	0	0	C16H12O3N2	CHON	ConHC
BJ_E4	BJ	274.046905	12	9	5	3	0	0	C12H9O5N3	CHON	ConHC
BJ_E4	BJ	267.0662324	16	12	4	0	0	0	C16H12O4	CHO	ConHC
BJ_E4	BJ	262.035687	12	9	6	1	0	0	C12H9O6N	CHON	ConHC
BJ_E4	BJ	246.0408213	12	9	5	1	0	0	C12H9O5N	CHON	ConHC
BJ_E4	BJ	230.0458271	12	9	4	1	0	0	C12H9O4N	CHON	ConHC
BJ_E4	BJ	181.0142735	8	6	5	0	0	0	C8H6O5	CHO	ConHC
BJ_E4	BJ	149.0244651	8	6	3	0	0	0	C8H6O3	CHO	ConHC
BJ_E4	BJ	771.2750374	53	40	6	0	0	0	C53H40O6	CHO	ConHC
BJ_E4	BJ	707.2952697	53	40	2	0	0	0	C53H40O2	CHO	ConHC
BJ_E4	BJ	681.1685154	41	31	8	0	0	1	C41H31O8P	CHOP	ConHC
BJ_E4	BJ	868.343255	62	47	4	1	0	0	C62H47O4N	CHON	ConHC
BJ_E4	BJ	513.1188692	29	22	9	0	0	0	C29H22O9	CHO	ConHC
BJ_E4	BJ	458.1427481	29	22	1	3	0	1	C29H22ON3P	CHONP	ConHC
BJ_E4	BJ	445.1556489	29	22	3	2	0	0	C29H22O3N2	CHON	ConHC
BJ_E4	BJ	766.2959747	54	41	4	1	0	0	C54H41O4N	CHON	ConHC
BJ_E4	BJ	772.2299415	46	35	9	3	0	0	C46H35O9N3	CHON	ConHC
BJ_E4	BJ	439.0603424	21	16	7	2	1	0	C21H16O7N2S	CHONS	ConHC
BJ_E4	BJ	797.2905649	55	42	6	0	0	0	C55H42O6	CHO	ConHC
BJ_E4	BJ	374.033812	17	13	7	1	1	0	C17H13O7NS	CHONS	ConHC
BJ_E4	BJ	354.0730798	17	13	6	3	0	0	C17H13O6N3	CHON	ConHC
BJ_E4	BJ	326.06694	17	13	6	1	0	0	C17H13O6N	CHON	ConHC
BJ_E4	BJ	310.0719775	17	13	5	1	0	0	C17H13O5N	CHON	ConHC
BJ_E4	BJ	294.0770696	17	13	4	1	0	0	C17H13O4N	CHON	ConHC
BJ_E4	BJ	895.3346387	64	49	3	0	0	1	C64H49O3P	CHOP	ConHC
BJ_E4	BJ	784.2217365	47	36	7	3	0	1	C47H36O7N3P	CHONP	ConHC
BJ_E4	BJ	711.2389901	47	36	7	0	0	0	C47H36O7	CHO	ConHC
BJ_E4	BJ	695.2261792	47	36	4	0	1	0	C47H36O4S	CHOS	ConHC
BJ_E4	BJ	540.1298308	30	23	9	1	0	0	C30H23O9N	CHON	ConHC
BJ_E4	BJ	707.1840751	43	33	8	0	0	1	C43H33O8P	CHOP	ConHC
BJ_E4	BJ	669.1875905	39	30	9	2	0	0	C39H30O9N2	CHON	ConHC
BJ_E4	BJ	634.1898472	39	30	4	3	0	1	C39H30O4N3P	CHONP	ConHC
BJ_E4	BJ	432.9831378	13	10	13	2	1	0	C13H10O13N2S	CHONS	Other
BJ_E4	BJ	293.0302025	13	10	8	0	0	0	C13H10O8	CHO	ConHC
BJ_E4	BJ	289.0465577	13	10	6	2	0	0	C13H10O6N2	CHON	ConHC
BJ_E4	BJ	277.0353048	13	10	7	0	0	0	C13H10O7	CHO	ConHC
BJ_E4	BJ	261.0403762	13	10	6	0	0	0	C13H10O6	CHO	ConHC
BJ_E4	BJ	241.0618012	13	10	3	2	0	0	C13H10O3N2	CHON	ConHC
BJ_E4	BJ	225.0669149	13	10	2	2	0	0	C13H10O2N2	CHON	ConHC
BJ_E4	BJ	213.0557537	13	10	3	0	0	0	C13H10O3	CHO	ConHC
BJ_E4	BJ	601.1356071	35	27	4	2	1	1	C35H27O4N2SP	CHONSP	ConHC
BJ_E4	BJ	807.311708	57	44	5	0	0	0	C57H44O5	CHO	ConHC
BJ_E4	BJ	759.3265422	57	44	2	0	0	0	C57H44O2	CHO	ConHC
BJ_E4	BJ	673.2053708	44	34	5	0	1	0	C44H34O5S	CHOS	ConHC
BJ_E4	BJ	650.2363574	44	34	1	3	0	1	C44H34ON3P	CHONP	ConHC
